community,GEOID,Longitude,Latitude,HCSRCP_2016-2018,HCSRCP_2015-2017,UNS_2015-2019,CZD_2019,CZD_2018,CZD_2017,CZD_2016,CZM_2019,CZM_2018,CZM_2017,CZM_2016,CZR_2019,CZR_2018,CZR_2017,CZR_2016,CZS_2019,CZS_2018,CZS_2017,CZS_2016,CZV_2019,CZV_2018,CZV_2017,CZV_2016,TRF_2019,TRF_2018,TRF_2017,TRF_2016,PMC_2019,PMC_2018,PMC_2017,PMC_2016,MEODR_2019,MEODR_2018,MEODR_2017,MEODR_2016,CCG_2015-2019,CCR_2015-2019,HCSOBP_2016-2018,HCSOBP_2015-2017,DIS_2015-2019,HCSOHSP_2016-2018,HCSOHSP_2015-2017,HCSNSP_2016-2018,HCSNSP_2015-2017,EDB_2015-2019,EDE_2015-2019,UMP_2015-2019,POV_2015-2019,HCSPAP_2016-2018,HCSPAP_2015-2017,HCSSP_2016-2018,HCSSP_2015-2017,LEQ_2015-2019,POP_2015-2019,VRALR_2015-2019,VRDIDR_2015-2019,VRDO_2015-2019,VRSUR_2015-2019,VRCAR_2015-2019,VRDI_2015-2019,VRLE_2019,VRLE_2018,VRLE_2017,VRLE_2016,VRLE_2015,PARK_VEGETATED_SQFT,ROOF_VEGETATED_SQFT,Park Count,Roof Count,TOTAL_VEGETATED_SQFT,AVG_PARK_SQFT,AVG_ROOF_SQFT,TOTAL_COM_AREA_SQFT
ROGERS PARK,1.0,-87.670171,42.00963,74.0,72.2,13.0866436569213,91.913673,63.150125,58.102144,83.862366,1734.071487,1534.334201,1740.422206,1453.821261,110.108444,135.389177,165.55017,158.877453,36.701148,21.776792,33.746963,28.246499,277.773079,273.081867,314.047074,324.822094,432.612003510251,15.7526485861263,15.7117885171004,15.6189171559502,9.428351196648,12.5375073079918,11.0487290680948,11.5239285902903,16.9,12.9,26.0,26.0,75.75115754,628.7100776,33.5,33.7,10.3980029870043,77.0,75.5,73.0,76.6,87.3826852260942,45.7548469165467,5.42814616591768,24.9258198983455,24.9,25.6,16.5,21.3,8.14773430076612,52553.206784,10.2,23.4,65.0,9.9,186.2,718.0,75.609142959,75.13292486,75.0986,75.2831,75.4,2959466.4,29823.0,23.0,6.0,2989289.4,128672.45217391304,4970.5,51296256.0
NORWOOD PARK,10.0,-87.803451,41.985248,82.8,85.5,3.39875693591314,10.946296,16.13985,15.269008,23.97378,418.371346,460.512696,412.835804,501.502403,8.294926,8.993113,13.095491,14.253043,10.111998,3.991725,8.299472,2.984605,41.677774,37.233313,42.468353,44.166416,1485.72089971871,1146.23655210503,1115.05451857639,1188.45811796942,9.78828714086716,12.7563589914488,11.2153837193117,11.8536818522479,16.1,11.4,6.4,6.4,71.78478346,621.2630474,27.9,20.9,11.3750049074824,92.1,91.2,96.3,96.4,92.2187841947678,39.2616044984921,3.18947194160138,6.70165307442226,15.8,16.3,6.7,9.6,3.55218037932098,38676.029693,6.6,15.2,25.0,12.7,169.0,887.0,80.673544076,81.34222222,80.9651,81.2056,80.5,1930143.6,0.0,10.0,0.0,1930143.6,193014.36000000002,6460.170833333333,121828608.0
JEFFERSON PARK,11.0,-87.771165,41.978836,73.2,76.9,8.27852817403559,14.978495,14.986752,20.976037,20.964495,402.457918,458.4507,418.421648,457.339322,13.972681,17.95425,18.968182,22.951882,2.995008,7.001012,7.989433,4.986063,39.956659,58.890868,55.91857,46.91519,1917.24746520248,1482.84723774627,1471.21365752395,1456.5054276146,9.75806312958285,12.7903674933328,11.2563013592639,11.8633608989397,15.3,21.7,7.1,7.1,62.72094485,558.0248437,20.8,17.8,9.43537702046291,89.2,87.3,97.4,96.5,90.9117161644782,35.5715147168416,4.5202627822432,9.81145392962761,26.0,26.4,24.4,19.7,8.23102762641856,27475.359833,13.5,21.4,27.0,11.8,169.1,425.0,80.769752164,80.66629315,79.8778,80.0532,79.2,731372.4,0.0,5.0,0.0,731372.4,146274.48,16452.096153846152,64956672.0
FOREST GLEN,12.0,-87.758358,41.993938,91.5,78.2,3.8246022070458,4.009595,2.005499,5.007594,8.993789,187.991106,250.702132,239.963103,267.931677,2.009949,4.025798,8.027445,6.025986,0.012044,3.974852,2.990865,0.016546,11.009313,21.023953,21.020779,21.041759,1919.74265744983,1873.14531285702,1837.72475979824,1830.56975160347,9.69215148141256,12.718274132685,11.1890008564267,11.7845981978042,0.0,0.0,13.4,13.4,58.39589142,604.5267877,20.3,16.7,9.37569860512477,83.7,81.8,95.4,96.7,94.6536855623295,58.2582373008662,3.1789036744439,4.41424240534286,24.6,26.0,17.5,16.7,3.34636939730618,19361.55814,4.9,17.3,12.0,3.5,142.8,285.0,83.1913665,82.86192603,82.9067,82.1399,82.0,1139529.6,20924.0,8.0,1.0,1160453.6,142441.2,20924.0,89210880.0
NORTH PARK,13.0,-87.723578,41.983651,85.2,85.7,6.38787615458325,7.944029,12.017942,17.872966,30.868778,360.35458,497.974202,524.390408,485.531561,15.912615,28.898419,25.985785,31.932827,7.965049,9.949866,4.02307,3.00972,42.891279,66.782961,59.91491,61.888919,463.655017690316,263.740877884471,249.791549517116,248.445822230811,9.67517890990062,12.7549019456112,11.2503407019191,11.8062252788846,6.1,10.1,11.2,11.2,52.43834125,529.1342413,39.9,18.8,13.6104539183127,93.5,96.1,96.1,87.8,89.114037947883,47.6502341884995,4.52195077423518,11.3278170060913,23.0,21.4,15.9,22.9,8.88475686192216,18896.628476,6.4,8.1,8.0,11.7,133.3,324.0,81.608388028,81.91422278,81.1375,82.6033,83.6,7733206.8,3482.0,8.0,1.0,7736688.8,966650.85,3482.0,70253568.0
ALBANY PARK,14.0,-87.721558,41.968078,73.8,65.8,15.3760972045126,60.061556,31.082011,27.187319,45.262276,934.698727,1092.994227,1202.917589,1084.950242,73.118515,130.253444,138.293824,159.179957,16.08677,15.069951,15.01565,20.024244,198.340441,274.470319,229.584931,276.356408,462.667008176751,169.56008996406,154.481389071998,167.921546754089,9.71454075145279,12.8261138141833,11.3140790661543,11.8641263253975,11.8,7.3,10.2,10.2,44.04523593,466.8818989,29.5,23.9,8.72582728394121,76.4,71.3,87.1,80.0,81.4867052427197,38.1369187650028,5.17742460686887,14.3426627384499,22.6,21.9,24.9,21.2,14.9796766230761,49941.765631,8.5,15.0,39.0,9.2,152.3,522.0,80.313887549,79.22461047,79.4268,79.4931,80.4,1459260.0,16287.0,7.0,3.0,1475547.0,208465.7142857143,5429.0,53526528.0
PORTAGE PARK,15.0,-87.763401,41.954043,77.2,78.1,11.057903000373,46.954596,41.968834,75.92326,79.969326,1031.757304,1341.518354,1431.384324,1339.602725,54.959507,78.962556,71.9993,80.952363,22.977684,18.989277,19.980792,19.970756,205.807457,205.866451,205.910043,201.880672,823.357615610653,714.929223131477,684.166568562507,719.950087883449,9.81911877724845,12.8833546462854,11.3572597983584,11.9469695498283,19.6,19.6,19.2,19.2,74.52443722,561.090609,36.3,34.7,9.46943375747782,86.6,84.1,90.9,88.2,85.733032629731,32.7018174725007,5.48681981524689,9.39921336647777,26.9,24.0,19.6,20.1,10.6306794045297,64579.129015,14.6,23.2,76.0,7.8,161.0,850.0,80.616574374,80.85013908,80.1099,80.029,79.5,2976890.4,18187.0,5.0,3.0,2995077.4,595378.08,6062.333333333333,110119680.0
IRVING PARK,16.0,-87.723457,41.953589,75.8,67.7,12.2597857869809,45.030985,38.9978,27.992491,60.976117,1110.160595,1316.037957,1496.721091,1332.973572,47.987327,87.98189,116.96546,106.975237,20.993917,16.983484,10.011612,16.999724,161.905809,195.92502,219.878201,238.864725,4953.22237401491,4089.05657836404,4181.1059445206,4033.44017181421,9.75567942109737,12.8777603728001,11.370208217672,11.910498041029,15.2,14.7,15.2,15.2,58.66359967,533.834315,31.4,28.6,8.08357837354541,82.5,83.9,83.0,86.6,86.8881944316003,43.4153339380718,3.8563949729241,8.70421881562031,29.9,24.2,19.1,18.3,10.1120317084043,53468.353559,10.9,19.1,52.0,7.2,155.5,551.0,79.272994681,79.51555799,79.7732,79.3258,79.6,4166078.4,0.0,7.0,0.0,4166078.4,595154.0571428571,24467.95,89489664.0
DUNNING,17.0,-87.806015,41.946522,68.1,69.0,8.28036985872342,15.983792,16.984493,19.989875,38.965536,419.609056,584.419079,546.44544,711.257416,5.999863,17.982834,25.971534,46.9392,7.993724,9.996653,5.998086,10.9935,64.953631,78.913168,77.928323,115.866027,560.554475830499,576.930491252176,569.034922050833,558.021882906742,9.89407493069603,12.8951047764437,11.352635281544,11.9936770262718,16.4,23.6,15.4,15.4,66.87103762,547.9770783,31.5,30.3,10.6953585881376,86.2,85.2,94.0,96.4,89.445216649266,26.6596551535625,3.56023901786579,6.9598650419721,23.2,18.8,31.5,19.7,10.0330742077544,43400.977557,11.4,20.5,44.0,12.3,176.8,815.0,79.809719713,79.51904778,79.739,79.4437,80.1,1732816.8,25644.0,3.0,3.0,1758460.8,577605.6,8548.0,103707648.0
MONTCLARE,18.0,-87.798033,41.929306,65.6,58.0,10.5658005867914,9.009547,10.032688,10.04068,8.049388,214.212448,244.247232,232.590204,267.036661,13.039828,10.065414,21.088575,15.088727,2.013608,2.007921,4.006162,1.010298,40.130155,38.115534,56.182776,41.173485,228.014016731594,224.524699922825,229.776952387839,230.456715296553,9.92188421909463,12.9581158773523,11.4132347869169,12.034060517667,31.5,22.1,6.8,6.8,65.17731494,540.6162709,41.6,43.7,11.4419318445469,85.0,66.8,79.0,77.5,79.7162955863434,17.039905818422,5.62031738160878,11.6889146001058,37.0,23.2,21.2,23.2,15.8487269799642,14305.195008,9.6,18.7,12.0,15.4,191.3,282.0,77.097372941,77.73628895,78.301,76.9961,77.1,160736.4,0.0,1.0,0.0,160736.4,160736.4,12900.813333333334,27599616.0
BELMONT CRAGIN,19.0,-87.765502,41.927275,71.6,73.1,16.4197939266026,194.324742,151.339527,120.258817,142.324977,1753.074375,1770.988281,2109.828688,2093.332619,135.215168,159.415199,178.006209,197.159887,35.031917,20.089333,21.055607,30.061001,381.683053,371.957943,420.192841,458.448038,269.464224817446,214.547274680694,210.688648059356,214.666795450625,9.89165436805954,12.97833392369,11.4488258546176,12.0311734549154,17.0,12.8,15.9,15.9,49.68115997,482.3011933,25.9,32.4,10.2062204989524,75.6,73.2,65.0,71.8,68.5992052839714,13.4133174458445,6.16663005645662,15.7922978934644,32.8,28.5,24.8,31.0,20.5669390583039,78649.247667,11.7,18.9,70.0,6.9,152.2,724.0,79.236140785,79.94237057,79.7362,79.6976,80.6,2897175.600000001,33791.0,5.0,5.0,2930966.600000001,579435.1200000002,6758.2,109004544.0
WEST RIDGE,2.0,-87.695017,42.001583,76.8,77.0,11.8221029379094,69.922018,47.924325,49.898019,85.895744,1431.391675,1465.190026,1480.566649,1311.599243,87.92047,124.847676,114.87466,117.894855,26.966188,18.987022,17.981176,18.976693,223.749799,273.684892,239.7607,249.757084,608.424038101868,388.627848270704,393.431592751068,389.583619830461,9.52891899608341,12.6235006005186,11.1227875592567,11.637066195306,7.6,6.3,7.2,7.2,64.36274785,541.7453076,24.2,24.0,9.59993914734186,84.2,87.9,75.6,77.3,82.2089490589254,41.0913494205194,7.19865017675466,19.520282091658,26.3,25.3,17.0,18.5,12.1574132248473,78444.202314,3.1,8.5,30.0,7.1,158.4,970.0,80.429572329,80.05339396,79.8056,79.205,79.1,8213673.6,86512.0,12.0,4.0,8300185.6,684472.7999999999,21628.0,98410752.0
HERMOSA,20.0,-87.734741,41.924353,89.3,77.9,18.5206546969277,53.21195,47.119919,28.190093,56.204559,374.097558,454.982274,600.913015,572.701996,30.071522,48.230835,47.299697,51.234264,10.040861,7.00571,4.044423,11.0206,97.402191,119.494297,137.55869,129.51082,160.40433500662,47.5737853694528,48.7530479185118,48.4829095304612,9.8575397551545,12.9958301193778,11.4725998708749,12.0188013929993,15.1,16.3,22.1,22.1,35.20355073,415.4465653,45.2,42.9,11.0744875241249,82.4,80.8,66.9,58.8,66.6706697584813,16.0629248928077,6.21631056081153,16.4582651730274,36.0,37.7,33.0,42.4,21.7167870942808,23534.165997,4.2,20.2,24.0,2.9,150.5,190.0,79.503439704,78.7599166,79.612,80.7907,81.2,685198.8,0.0,3.0,0.0,685198.8,228399.6,19746.383333333335,32617727.999999996
AVONDALE,21.0,-87.711219,41.938673,79.7,70.5,16.6939992778412,38.022632,20.061923,24.052091,30.115994,954.420725,1167.454208,1110.832791,1087.551371,77.007619,107.006494,113.053992,89.070014,14.007722,17.015924,20.005149,11.00186,162.063195,240.069864,223.097178,184.115554,6409.76274997881,5467.33767576024,5455.75399260878,5476.33975748596,9.77575756857547,12.9263561604035,11.4220914841962,11.9455903394331,19.3,16.5,15.0,15.0,39.27566977,448.6659585,42.0,40.8,7.66856245240291,77.7,73.9,80.0,88.1,80.8507251130346,38.4110018465027,4.32613356623982,14.321270625066,25.6,28.0,14.7,17.7,13.8734945925037,38127.175225,14.9,20.8,37.0,6.9,130.2,319.0,82.160594481,81.73388088,81.0704,80.4677,80.6,379407.6,71038.0,8.0,6.0,450445.6,47425.95,11839.666666666666,55199232.0
LOGAN SQUARE,22.0,-87.699149,41.922768,70.0,67.4,7.81974130624187,73.806238,65.644172,57.764989,90.250411,2606.522047,2579.001134,2799.99068,2946.95602,136.096479,140.763715,253.926746,204.364089,31.024905,25.018606,27.05004,27.02878,324.784244,347.577231,448.857635,407.655055,4490.82780377712,3786.74590105948,3782.78451022232,3824.47199952261,9.79684487140794,12.9790511746459,11.4805378037916,11.9774213828471,18.9,16.6,11.3,11.3,39.90008168,434.8883309,22.9,22.0,5.01585820434055,81.1,84.9,84.9,82.6,91.3176221081612,57.9044168632465,3.17114032657916,11.3164168289958,18.7,18.8,18.1,16.8,9.06496405554294,72410.235757,10.9,19.7,63.0,4.2,126.6,477.0,81.303544922,81.78828538,81.1209,80.3362,80.2,1105552.8,92273.0,15.0,10.0,1197825.8,73703.52,9227.3,100083456.0
HUMBOLDT PARK,23.0,-87.720917,41.90008,68.9,75.4,16.181016452715,1870.813773,1678.540963,1142.016798,1014.112773,2320.944231,2515.104151,2981.468708,3014.054786,216.182718,342.572179,401.47555,416.515749,52.73863,41.729932,61.637864,46.843295,754.670969,917.806486,1050.428329,989.619375,287.120275328499,232.569230082364,230.835451672749,227.922966012663,9.90227504660425,13.0789610666269,11.562786610913,12.0758415631553,59.2,75.3,68.8,68.8,55.53973509,530.1180947,33.5,35.4,12.7891372397881,66.2,72.5,48.5,52.2,72.7036463817308,14.9627310813624,11.7884292548421,26.6808956070045,39.8,32.5,33.0,35.3,10.1150066700502,55049.319577,9.3,63.0,158.0,5.8,173.0,660.0,73.683279119,73.70271262,74.6697,74.694,75.6,650786.3999999999,118169.0,16.0,4.0,768955.3999999999,40674.149999999994,29542.25,100362240.0
WEST TOWN,24.0,-87.676358,41.901216,65.2,68.3,5.78411831969282,83.934808,57.746822,77.587673,84.318338,3862.463034,4062.548818,4954.259979,4875.457895,238.296491,287.56531,430.231979,390.787963,46.990383,49.010322,54.009094,31.012494,518.947844,577.338369,754.631426,697.687317,4766.06142960148,4187.61514256341,4223.02232665945,4226.65914414677,9.8141163112258,13.0506477782433,11.5545943859601,12.0112753304022,22.8,15.9,19.6,19.6,60.25332762,566.1959819,21.5,18.7,5.01923790383972,88.5,85.1,86.0,84.6,93.9061185087518,68.0241321714118,3.51827166980835,10.8919416610081,13.1,13.6,19.7,19.1,4.56690517716462,84714.808339,11.4,21.6,79.0,6.2,149.7,626.0,81.070150958,80.5592539,79.9984,80.636,80.2,10586822.4,58126.0,17.0,7.0,10644948.4,622754.2588235295,8303.714285714286,127683072.0
AUSTIN,25.0,-87.763117,41.894113,85.3,87.0,11.5830430758414,1254.076944,1342.415716,1454.976406,1859.593339,5215.375422,5382.23528,5375.839744,5692.174843,593.786377,764.134227,817.402936,845.18721,106.247315,125.145083,98.355092,94.090693,1827.594399,1951.09662,2039.834248,2129.47989,1278.8518457992,1173.36844580866,1162.88459187279,1160.88848381767,9.97005067519777,13.0906508595609,11.5530741856632,12.1152735332601,66.1,62.2,64.6,64.6,100.4020041,675.8449753,38.4,38.9,17.1940733250037,77.0,71.9,59.6,54.9,81.4135092309197,16.6071243435873,11.9320150559996,25.3834501888885,34.9,31.2,35.9,36.3,2.71701939749917,93940.666333,9.6,63.6,324.0,5.0,230.9,1840.0,71.012466422,70.66226144,70.1267,70.7371,72.2,8388784.8,157768.0,17.0,10.0,8546552.8,493457.9294117647,15776.8,199330560.0
WEST GARFIELD PARK,26.0,-87.730233,41.878602,83.4,85.9,10.1679874307296,1703.212841,1041.869575,983.549241,1413.076207,1594.651374,1675.974087,1648.623435,1676.887531,254.917309,308.83292,300.903065,347.835895,35.982961,35.996396,25.970594,36.012945,718.849561,762.900892,730.679376,757.918278,3420.40812429659,2612.67049932,2622.38432976221,2611.51142927778,9.96984876838591,13.1575698377994,11.6326880236186,12.1421054428983,87.8,91.6,64.8,64.8,142.3277099,770.5501449,48.4,44.6,20.111409448186,61.7,67.7,46.0,49.3,72.7182617373117,6.30907659810959,20.2886692690276,39.0036085963692,39.7,31.2,47.3,38.4,0.23064821554993,16414.888906,7.9,79.8,70.0,11.0,263.4,345.0,69.05180762,68.11950978,68.4772,69.5275,70.5,225205.2,5062.0,5.0,1.0,230267.2,45041.04,5062.0,35684352.0
EAST GARFIELD PARK,27.0,-87.705892,41.878923,92.6,78.6,7.5768985912851,672.906019,599.550084,650.429428,758.254463,1641.550608,1819.049689,1619.712359,1695.841735,201.612086,299.491018,252.590067,234.88896,24.933331,28.016568,26.95759,32.940473,600.193544,741.995236,670.670552,690.552985,3331.9746237001,3009.84296773048,3025.85084369056,3003.08005763338,9.92650635185124,13.1454800548218,11.6278628132355,12.1117429430896,112.7,118.5,79.2,79.2,119.9075243,792.1675667,43.5,33.4,18.2846754700843,71.2,77.2,60.6,67.1,75.8633209136746,15.8729107757838,17.5436971899511,44.3511986623673,39.1,47.0,30.1,43.4,0.744903522150803,18950.718601,9.7,86.7,85.0,0.0,252.9,371.0,67.725109634,67.92824583,67.6843,68.7291,70.1,8455867.2,0.0,10.0,0.0,8455867.2,845586.72,16993.96,53805312.0
NEAR WEST SIDE,28.0,-87.663513,41.874016,73.6,76.3,4.86024052203708,219.389556,161.238941,158.153279,207.259109,4710.975948,4927.928286,4888.490044,4965.596941,301.51351,342.469595,458.781184,351.578113,61.086361,66.020475,68.108913,66.967585,725.817836,743.765317,859.41481,726.294663,5401.12963058891,4646.61611448414,4618.22461733373,4660.47272470782,9.86020815746151,13.1405691815807,11.6468117468272,12.0706043013504,61.7,32.2,41.1,41.1,88.62019911,630.1981121,24.1,19.8,11.1506461800009,87.9,90.3,82.6,81.6,89.2747243246521,56.4161129611772,8.3862206971593,25.4373414697025,16.6,18.6,19.1,23.1,1.02862339113456,63280.09464,9.6,39.5,92.0,6.6,190.6,584.0,75.963707652,76.00864061,76.3446,78.3829,78.5,1795978.8,253318.0,14.0,32.0,2049296.8,128284.2,7916.1875,158628096.0
NORTH LAWNDALE,29.0,-87.717218,41.860197,77.2,78.2,10.5159078440438,2151.732718,2035.02836,1599.649301,1180.629351,2483.188217,2719.394075,2754.028984,2906.423332,343.45725,376.39245,390.430547,449.261549,41.970426,55.937261,62.91961,48.950957,1032.718655,1137.456458,1159.411643,1290.041111,480.329280524239,326.120863260176,318.789981003373,330.543749594088,9.97423913415003,13.1958691535844,11.6651424544887,12.1518469950898,94.0,114.9,93.2,93.2,102.0549408,708.8084386,44.1,46.8,15.9070985505594,82.1,84.3,45.9,47.9,77.5607446089107,12.5043269339396,14.4097539145349,38.13909172783,25.2,23.5,44.0,44.1,1.55912976813669,32086.480035,11.5,98.7,161.0,2.7,244.2,622.0,69.141987323,67.88485659,68.0885,69.9699,71.7,8439314.4,9124.0,13.0,3.0,8448438.4,649178.0307692308,3041.3333333333335,89489664.0
UPTOWN,3.0,-87.655899,41.965822,66.4,72.7,7.6032551550007,56.549916,64.335716,63.650594,102.755015,1269.287777,1433.03288,1414.462332,1453.039412,72.494171,101.887305,98.933867,135.272746,26.720434,37.600429,36.008666,21.017531,243.647755,249.160716,284.770545,309.194536,1913.85468889212,1430.28293762899,1425.68240614676,1446.71029715936,9.55943972712042,12.7430252377127,11.2709234882487,11.7244068849235,18.4,17.4,18.5,18.5,72.77352599,678.8576846,20.0,20.9,11.8311114973679,86.3,84.6,81.9,79.0,91.5662220267662,60.9438287527515,3.5723128309611,17.6657769265917,20.0,13.1,18.8,19.3,4.73643789383015,53663.317254,12.4,24.4,75.0,10.8,173.9,929.0,76.005644552,75.97679257,76.1421,76.1365,76.6,806731.2000000001,94895.0,11.0,5.0,901626.2,73339.20000000001,18979.0,64677887.99999999
SOUTH LAWNDALE,30.0,-87.714,41.839091,69.7,72.7,22.5241827859129,333.524859,272.958892,178.926286,165.954401,1693.512403,1843.147996,1945.929139,1975.207523,147.616554,201.502683,219.80738,250.758754,33.093059,40.041092,38.001745,38.002611,489.522676,548.341285,585.972293,649.228848,182.94848555511,69.1265331785674,71.4513074461231,69.9302195595379,9.98749354477982,13.2274812542912,11.6811807314356,12.160589478021,11.6,21.7,11.1,11.1,31.54110235,414.5193411,41.5,42.5,8.07396073588549,75.0,77.0,51.9,53.8,56.3289964069566,7.84529519484257,8.70074396350244,27.9704984354139,32.0,28.6,30.0,27.1,21.2048033115488,72091.383081,14.6,14.7,53.0,3.5,146.8,479.0,78.927058256,79.41368811,80.4736,80.6611,80.7,1122105.6,14249.0,7.0,1.0,1136354.6,160300.80000000002,14249.0,127961856.0
LOWER WEST SIDE,31.0,-87.66757,41.850277,61.9,67.8,15.0295044415172,71.299375,55.668659,40.750583,78.56988,834.675556,925.566667,1020.751561,1004.795513,58.735852,87.568124,107.117043,78.485709,19.818391,20.927725,22.841379,15.941547,203.890956,243.749415,284.745363,262.869193,1322.8071871678,1084.71583564073,1113.90604313287,1097.671088808,9.90522084053361,13.203263507907,11.6870256548668,12.110561568589,12.6,11.6,11.8,11.8,37.16788895,460.6396219,19.9,24.2,9.79430342595258,81.2,77.3,69.8,69.0,73.2425534173168,31.5325092338039,4.87292339134106,15.4104922940335,24.2,34.1,25.4,31.2,18.3620483501764,33050.021824,8.8,17.1,30.0,8.9,128.8,286.0,80.948944574,80.36008176,80.2423,81.1149,82.0,1526778.0,28944.0,9.0,4.0,1555722.0,169642.0,7236.0,81683712.0
LOOP,32.0,-87.625194,41.878881,74.0,79.6,3.88101993437186,102.414458,81.515795,65.318301,72.953766,5530.941122,5707.477631,5847.933126,4779.486005,215.579576,261.350382,307.886323,255.674157,27.736556,39.084841,32.477888,31.386694,408.988474,465.290664,488.796208,407.300047,5205.83281703795,4370.1197220197,4306.15113687808,4351.38090742109,9.78110947798725,13.1082029543594,11.6302252735939,12.011949989473,14.2,25.2,10.7,10.7,47.6253366,629.7394907,6.7,10.4,6.51906193222752,92.3,93.9,87.9,85.7,97.9521362268874,83.2098139135465,5.61386293080886,11.3817703092548,12.0,12.8,18.8,15.9,1.26003246650218,35958.497534,12.1,14.8,22.0,12.4,138.7,176.0,81.246381842,81.94713272,81.625,82.0031,81.6,1170457.2000000002,829953.0,6.0,32.0,2000410.2,195076.20000000004,25936.03125,45999360.0
NEAR SOUTH SIDE,33.0,-87.620344,41.857196,70.7,72.4,3.19616574764331,28.147262,17.69761,16.469136,22.741915,691.143629,716.032983,740.312795,769.780367,41.408648,45.293182,83.498576,44.013453,6.205667,11.238247,7.173321,12.463122,102.881309,105.012929,129.591399,109.543801,3410.87521436756,2871.55263795527,2876.56362449363,2868.56932764869,9.82823535354026,13.1732295103849,11.704668187488,12.0619140456624,20.5,12.4,16.5,16.5,99.82194694,781.8340245,13.0,9.7,7.81055193670799,94.6,91.6,87.2,89.8,96.2992674615411,71.7285844226656,0.709945356185135,10.2572695971698,13.3,7.7,11.9,14.6,2.92171748935264,19810.006139,8.3,19.8,22.0,11.9,162.8,241.0,79.443563518,80.81955992,80.0532,79.3736,78.8,19110207.6,1159160.0,8.0,19.0,20269367.6,2388775.95,61008.42105263158,49623552.0
ARMOUR SQUARE,34.0,-87.633976,41.842083,82.3,79.6,7.89013846765554,21.975751,13.0699,9.01673,16.076659,504.386351,527.68389,514.126694,499.846767,71.656478,55.87012,100.696072,113.494629,4.025334,5.050277,4.986162,2.990742,122.684558,124.724896,155.62576,169.438678,10134.759564254,8005.29569291206,7959.76332231025,8116.19878701642,9.85946049967841,13.206756489552,11.7073360807376,12.0754008476822,6.8,6.8,14.7,14.7,95.98059623,475.1439779,31.740000000000002,32.31999999999999,14.1276953885609,56.7,84.7,76.5,63.2,63.4628125448764,23.5281995121662,12.8697222516743,37.3926237377569,54.5,29.7,28.619999999999997,31.04,31.3265871491734,13585.42411,1.4,8.4,6.0,3.0,156.5,245.0,80.733412993,80.90039328,80.4189,80.5668,80.1,482209.2,0.0,3.0,0.0,482209.2,160736.4,15766.016666666666,27878400.0
DOUGLAS,35.0,-87.61868,41.835122,83.7,74.1,6.61899197927608,76.30571,42.699906,48.917589,71.270853,945.0498,988.554306,1027.206387,999.350691,71.869015,103.137236,139.606687,151.690237,16.215497,15.345956,18.000698,15.578076,216.100034,218.884508,249.433998,272.134416,1398.60494079057,1040.6945507609,1040.46618006732,1033.64875699003,9.83497845191406,13.212608576226,11.7010908262283,12.05523566294,47.6,16.6,37.3,37.3,132.5151693,834.6836549,26.2,24.7,13.3752168918956,77.7,82.1,78.4,89.4,89.4136568349718,44.4287759642343,12.349215684039,34.9312873573685,24.7,26.9,19.9,27.0,1.75341008768593,18763.463356,8.0,37.7,34.0,13.2,245.8,461.0,72.076329935,72.63753356,74.0149,73.9971,74.0,28973934.0,10958.0,10.0,7.0,28984892.0,2897393.4,1565.4285714285713,45999360.0
OAKLAND,36.0,-87.603217,41.823754,81.5,83.2,5.31264535910909,6.011381,3.523266,0.99615,5.522848,162.59206,147.138703,166.039843,212.41126,15.57318,12.546755,20.128304,18.720695,2.643974,3.592937,3.087825,2.031734,52.994251,43.033831,42.293668,50.146484,2142.78511398308,1578.42856904067,1539.15320704066,1470.14083218155,9.792052222111,13.2045032524428,11.6798385749375,12.0157644301977,74.7,56.7,51.0,51.0,279.0233217,1431.83497,33.8,44.0,15.2602798392793,68.2,82.44,64.5,59.4,90.5339037062114,33.8985788067819,15.409538443244,24.7303164501057,41.6,31.0,26.1,12.2,0.310174204360304,4425.440249,8.2,45.7,12.0,0.0,298.9,126.0,66.834609103,68.19772011,70.0112,70.0592,70.3,980971.2,24157.0,5.0,13.0,1005128.2,196194.24,1858.2307692307693,16169471.999999998
FULLER PARK,37.0,-87.632427,41.809082,64.8,79.9,6.14028609098876,61.825202,27.017882,26.989329,34.148526,295.482307,270.545319,340.597731,369.44622,32.880772,20.983877,47.913639,46.100272,8.970602,5.055312,2.017809,8.012994,94.923659,79.214799,100.965215,111.224589,12426.8691625235,9826.2708957454,9600.16176660919,9450.9526962578,9.86008222149758,13.2466308682406,11.700086739089,12.0625714447095,92.7,90.8,73.6,73.6,151.17178,734.2922485,31.740000000000002,30.940000000000005,24.0365841535871,62.0,67.6,83.7,83.7,78.7730719023743,8.85011351949402,25.1432215844565,29.3386848936026,32.7,29.8,47.4,36.3,1.47011104490848,2396.551147,17.1,77.1,12.0,0.0,288.8,82.0,66.299409599,64.57134646,65.8205,66.8585,66.3,482644.8,0.0,2.0,0.0,482644.8,241322.4,15766.016666666668,19793664.0
